,precision,recall,f1-score,support
Other,0.6595092024539877,0.473568281938326,0.5512820512820512,454.0
"Component-Whole(e2,e1)",0.7631578947368421,0.7733333333333333,0.7682119205298014,150.0
"Cause-Effect(e1,e2)",0.916030534351145,0.8955223880597015,0.9056603773584906,134.0
"Entity-Origin(e1,e2)",0.8055555555555556,0.8246445497630331,0.8149882903981264,211.0
"Member-Collection(e2,e1)",0.8341013824884793,0.900497512437811,0.8660287081339714,201.0
"Message-Topic(e1,e2)",0.8271604938271605,0.9571428571428572,0.8874172185430464,210.0
"Instrument-Agency(e2,e1)",0.8373983739837398,0.7686567164179104,0.8015564202334632,134.0
"Component-Whole(e1,e2)",0.8034682080924855,0.8580246913580247,0.8298507462686566,162.0
"Content-Container(e2,e1)",0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
"Content-Container(e1,e2)",0.8486842105263158,0.8431372549019608,0.8459016393442623,153.0
"Cause-Effect(e2,e1)",0.8787878787878788,0.8969072164948454,0.8877551020408163,194.0
"Entity-Origin(e2,e1)",0.8444444444444444,0.8085106382978723,0.8260869565217391,47.0
"Product-Producer(e1,e2)",0.7622950819672131,0.8611111111111112,0.808695652173913,108.0
"Entity-Destination(e1,e2)",0.8544891640866873,0.9484536082474226,0.8990228013029317,291.0
"Product-Producer(e2,e1)",0.726027397260274,0.8617886178861789,0.7881040892193308,123.0
"Message-Topic(e2,e1)",0.7833333333333333,0.9215686274509803,0.8468468468468469,51.0
"Member-Collection(e1,e2)",0.6785714285714286,0.59375,0.6333333333333334,32.0
"Instrument-Agency(e1,e2)",0.7,0.6363636363636364,0.6666666666666666,22.0
"Entity-Destination(e2,e1)",0.0,0.0,0.0,1.0
accuracy,0.8016194331983806,0.8016194331983806,0.8016194331983806,0.8016194331983806
macro avg,0.7530909931674344,0.7720597309136238,0.7601170334216979,2717.0
weighted avg,0.7943900034099042,0.8016194331983806,0.7940279805291368,2717.0
